25712172,V,SRL,IIVWR,,L,,N,,M,,K
25713940,V,SRL,IIMWV,353,R,11.56,N,A
25713956,V,SRL,IIHDM,,M
25713998,V,SRL,PTTKW,003,P,012,B,00.0
25714007,V,GPS,GPRMC,130005,A,2531.3369,N,11104.4274,W,000.4,198.8,120310,010.4,E
25714007,V,SRL,AGRMB,V,,R,,,,N,,E,,,,
25714032,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25714112,V,SRL,IIDBT,021.8,f,006.3,M,003.4,F
25714149,V,GPS,GPGGA,130005,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25714165,V,SRL,IIVWR,,L,,N,,M,,K
25714204,V,SRL,IIMTW,-09,C
25714267,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.6,0.9,1.2
25714381,V,SRL,AGHDM,289.3,M
25714413,V,GPS,GPGSV,3,1,12,51,59,170,49,12,77,302,47,05,57,137,48,29,19,304,39
25714425,V,SRL,AGHDG,289.3,,,,
25714463,V,SRL,AGRSA,01,A,,
25714559,V,GPS,GPGSV,3,2,12,27,14,205,41,10,54,092,47,09,17,207,40,02,54,020,48
25714705,V,GPS,GPGSV,3,3,12,30,43,316,44,04,14,046,28,17,00,096,00,21,00,239,00
25714880,V,SRL,IIVPW,,,,
25714936,V,SRL,IIMWV,001,R,11.56,N,A
25714960,V,SRL,IIHDM,,M
25714967,V,GPS,GPRMC,130006,A,2531.3369,N,11104.4274,W,000.4,194.3,120310,010.4,E
25714994,V,SRL,PTTKW,017,S,012,B,00.0
25715036,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25715109,V,GPS,GPGGA,130006,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25715116,V,SRL,IIDBT,022.8,f,006.3,M,003.4,F
25715169,V,SRL,IIVWR,,L,,N,,M,,K
25715188,V,SRL,AGGLL,,N,,E,,V
25715208,V,SRL,IIMTW,-09,C
25715228,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.6,0.9,1.2
25715374,V,GPS,GPGSV,3,1,12,51,59,170,48,12,77,302,47,05,57,137,49,29,19,304,40
25715382,V,SRL,AGHDM,290.1,M
25715426,V,SRL,AGHDG,290.1,,,,
25715463,V,SRL,AGRSA,00,A,,
25715520,V,GPS,GPGSV,3,2,12,27,14,205,41,10,54,092,46,09,17,207,41,02,54,020,49
25715602,V,SRL,AGRMC,,V,,N,,E,,,,,W
25715666,V,GPS,GPGSV,3,3,12,30,43,316,44,04,14,046,25,17,00,096,00,21,00,239,00
25715790,V,SRL,AGXTE,V,V,,R,N
25715876,V,SRL,IIVPW,,,,
25715929,V,SRL,IIMWV,036,R,9.05,N,A
25715932,V,GPS,GPRMC,130007,A,2531.3369,N,11104.4274,W,000.5,186.5,120310,010.4,E
25715956,V,SRL,IIHDM,,M
25715987,V,SRL,PTTKW,033,S,009,B,00.0
25716007,V,SRL,AGRMB,V,,R,,,,N,,E,,,,
25716032,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25716074,V,GPS,GPGGA,130007,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25716112,V,SRL,IIDBT,023.8,f,006.3,M,003.4,F
25716165,V,SRL,IIVWR,,L,,N,,M,,K
25716193,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.6,0.9,1.2
25716204,V,SRL,IIMTW,-09,C
25716339,V,GPS,GPGSV,3,1,12,51,59,170,48,12,77,302,46,05,57,137,51,29,19,304,41
25716383,V,SRL,AGHDM,291.5,M
25716426,V,SRL,AGHDG,291.5,,,,
25716464,V,SRL,AGRSA,00,A,,
25716485,V,GPS,GPGSV,3,2,12,27,14,205,42,10,54,092,44,09,17,207,39,02,54,020,49
25716631,V,GPS,GPGSV,3,3,12,30,43,316,44,04,14,046,25,17,00,096,00,21,00,239,00
25716788,V,SRL,AGBWW,,T,,M,,
25716872,V,SRL,IIVPW,,,,
25716926,V,SRL,IIMWV,046,R,8.84,N,A
25716940,V,GPS,GPRMC,130008,A,2531.3369,N,11104.4274,W,000.4,181.6,120310,010.4,E
25716960,V,SRL,IIHDM,,M
25716984,V,SRL,PTTKW,046,S,009,B,00.0
25717036,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25717082,V,GPS,GPGGA,130008,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25717116,V,SRL,IIDBT,024.8,f,006.3,M,003.4,F
25717169,V,SRL,IIVWR,,L,,N,,M,,K
25717189,V,SRL,AGGLL,,N,,E,,V
25717201,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.6,0.9,1.2
25717208,V,SRL,IIMTW,-09,C
25717347,V,GPS,GPGSV,3,1,12,51,59,170,51,12,77,302,45,05,57,137,50,29,20,304,41
25717383,V,SRL,AGHDM,293.1,M
25717427,V,SRL,AGHDG,293.1,,,,
25717464,V,SRL,AGRSA,01,A,,
25717493,V,GPS,GPGSV,3,2,12,27,14,205,41,10,54,092,43,09,17,207,39,02,54,020,49
25717604,V,SRL,AGRMC,,V,,N,,E,,,,,W
25717639,V,GPS,GPGSV,3,3,12,30,43,316,45,04,14,046,26,17,00,096,00,21,00,239,00
25717866,V,SRL,IIVPW,,,,
25717920,V,SRL,IIMWV,015,R,8.90,N,A
25717951,V,GPS,GPRMC,130009,A,2531.3369,N,11104.4274,W,000.5,191.4,120310,010.4,E
25717962,V,SRL,IIHDM,,M
25717978,V,SRL,PTTKW,010,S,009,B,00.0
25718008,V,SRL,AGRMB,V,,R,,,,N,,E,,,,
25718038,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25718093,V,GPS,GPGGA,130009,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25718118,V,SRL,IIDBT,023.7,f,006.3,M,003.4,F
25718171,V,SRL,IIVWR,,L,,N,,M,,K
25718210,V,SRL,IIMTW,-09,C
25718212,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.6,0.9,1.2
25718358,V,GPS,GPGSV,3,1,12,51,59,170,51,12,77,302,45,05,57,137,49,29,20,304,41
25718384,V,SRL,AGHDM,295.6,M
25718427,V,SRL,AGHDG,295.6,,,,
25718465,V,SRL,AGRSA,01,A,,
25718504,V,GPS,GPGSV,3,2,12,27,14,205,40,10,54,092,43,09,17,207,41,02,54,020,49
25718650,V,GPS,GPGSV,3,3,12,30,43,316,47,04,14,046,34,17,00,096,00,21,00,239,00
25718808,V,SRL,AGBWC,,,N,,E,,T,,M,,N,
25718862,V,SRL,IIVPW,,,,
25718916,V,SRL,IIMWV,044,R,6.16,N,A
25718960,V,SRL,IIHDM,,M
25718964,V,GPS,GPRMC,130010,A,2531.3369,N,11104.4274,W,000.5,207.1,120310,010.4,E
25718974,V,SRL,PTTKW,044,S,006,B,00.0
25719036,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25719106,V,GPS,GPGGA,130010,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25719116,V,SRL,IIDBT,025.9,f,006.3,M,003.4,F
25719168,V,SRL,IIVWR,,L,,N,,M,,K
25719190,V,SRL,AGGLL,,N,,E,,V
25719207,V,SRL,IIMTW,-09,C
25719225,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.5,0.9,1.2
25719371,V,GPS,GPGSV,3,1,12,51,59,170,51,12,77,302,45,05,57,137,50,29,20,304,42
25719384,V,SRL,AGHDM,297.9,M
25719428,V,SRL,AGHDG,297.9,,,,
25719465,V,SRL,AGRSA,00,A,,
25719517,V,GPS,GPGSV,3,2,12,27,14,205,41,10,54,092,42,09,17,207,41,02,54,020,49
25719605,V,SRL,AGRMC,,V,,N,,E,,,,,W
25719663,V,GPS,GPGSV,3,3,12,30,44,316,45,04,14,046,34,17,00,096,00,21,00,239,00
25719857,V,SRL,IIVPW,,,,
25719911,V,SRL,IIMWV,037,R,7.87,N,A
25719962,V,SRL,IIHDM,,M
25719969,V,SRL,PTTKW,043,S,008,B,00.0
25719975,V,GPS,GPRMC,130011,A,2531.3369,N,11104.4274,W,000.5,202.5,120310,010.4,E
25720010,V,SRL,AGRMB,V,,R,,,,N,,E,,,,
25720037,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25720116,V,GPS,GPGGA,130011,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25720118,V,SRL,IIDBT,020.7,f,006.3,M,003.4,F
25720170,V,SRL,IIVWR,,L,,N,,M,,K
25720209,V,SRL,IIMTW,-09,C
25720235,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.5,0.9,1.2
25720381,V,GPS,GPGSV,3,1,12,51,59,170,50,12,77,302,45,05,57,137,49,29,20,304,44
25720384,V,SRL,AGHDM,300.9,M
25720428,V,SRL,AGHDG,300.9,,,,
25720466,V,SRL,AGRSA,00,A,,
25720527,V,GPS,GPGSV,3,2,12,27,14,205,41,10,54,092,38,09,17,207,40,02,54,020,49
25720673,V,GPS,GPGSV,3,3,12,30,44,316,44,04,14,046,32,17,00,096,00,21,00,239,00
25720792,V,SRL,AGXTE,V,V,,R,N
25720852,V,SRL,IIVPW,,,,
25720907,V,SRL,IIMWV,035,R,10.01,N,A
25720939,V,GPS,GPRMC,130012,A,2531.3369,N,11104.4274,W,000.6,217.0,120310,010.4,E
25720965,V,SRL,PTTKW,038,S,010,B,00.0
25720984,V,SRL,IIHDM,,M
25721060,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25721080,V,GPS,GPGGA,130012,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25721140,V,SRL,IIDBT,021.9,f,006.3,M,003.4,F
25721191,V,SRL,AGGLL,,N,,E,,V
25721193,V,SRL,IIVWR,,L,,N,,M,,K
25721199,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.5,0.9,1.2
25721232,V,SRL,IIMTW,-09,C
25721345,V,GPS,GPGSV,3,1,12,51,59,170,49,12,77,302,46,05,57,137,51,29,20,304,44
25721385,V,SRL,AGHDM,303.6,M
25721428,V,SRL,AGHDG,303.6,,,,
25721466,V,SRL,AGRSA,00,A,,
25721491,V,GPS,GPGSV,3,2,12,27,14,205,40,10,54,092,35,09,17,207,42,02,54,020,50
25721604,V,SRL,AGRMC,,V,,N,,E,,,,,W
25721637,V,GPS,GPGSV,3,3,12,30,44,316,43,04,14,046,35,17,00,096,00,21,00,239,00
25721847,V,SRL,IIVPW,,,,
25721901,V,SRL,IIMWV,024,R,9.28,N,A
25721959,V,SRL,PTTKW,021,S,009,B,00.0
25721961,V,SRL,IIHDM,,M
25721968,V,GPS,GPRMC,130013,A,2531.3369,N,11104.4274,W,000.3,232.3,120310,010.4,E
25722009,V,SRL,AGRMB,V,,R,,,,N,,E,,,,
25722037,V,SRL,IIVHW,,T,,M,00.00,N,00.00,K
25722110,V,GPS,GPGGA,130013,2531.3369,N,11104.4274,W,2,09,0.9,1.7,M,-31.5,M,,
25722117,V,SRL,IIDBT,024.8,f,006.3,M,003.4,F
25722170,V,SRL,IIVWR,,L,,N,,M,,K
25722209,V,SRL,IIMTW,-09,C
25722229,V,GPS,GPGSA,A,3,,12,05,29,27,10,09,02,30,04,,,1.5,0.9,1.2
25722375,V,GPS,GPGSV,3,1,12,51,59,170,51,12,77,302,45,05,57,137,48,29,20,304,44
25722384,V,SRL,AGHDM,305.5,M
25722428,V,SRL,AGHDG,305.5,,,,
25722467,V,SRL,AGRSA,-00,A,,
25722521,V,GPS,GPGSV,3,2,12,27,14,205,40,10,54,092,37,09,17,207,42,02,54,020,50
25722667,V,GPS,GPGSV,3,3,12,30,44,316,43,04,14,046,39,17,00,096,00,21,00,239,00
25722785,V,SRL,AGHSC,,T,,M
